City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
204,corpus christi,27.8006,-97.3964,37.13,73,20,9.26,US,1691444311
205,pokrovka,42.3414,78.0056,13.09,78,70,0.99,KG,1691444849
206,weno,7.4515,151.8468,27.97,89,100,3.6,FM,1691444850
207,bilajer,40.5681,50.0378,25.9,89,0,3.09,AZ,1691444850
208,viljoenskroon,-27.2084,26.9485,8.85,30,0,0.49,ZA,1691444850
209,alaghsas,17.0187,8.0168,33.2,36,26,2.24,NE,1691444850
210,castillos,-34.1667,-53.8333,8.17,73,0,4.4,UY,1691444850
211,luderitz,-26.6481,15.1594,15.05,73,0,7.09,NA,1691444850
212,margate,51.3813,1.3862,15.49,79,95,2.24,GB,1691444624
213,redcar,54.6166,-1.06,14.18,78,25,4.02,GB,1691444851
214,usinsk,65.9939,57.5281,9.46,86,15,4.84,RU,1691444851
215,ginir,7.1333,40.7,15.94,67,16,5.54,ET,1691444851
216,salinas,36.6777,-121.6555,31.45,63,0,7.72,US,1691444725
217,campo gallo,-26.5833,-62.85,20.84,26,0,4.3,AR,1691444852
218,chemolgan,43.1897,76.5292,17.81,58,64,4.04,KZ,1691444852
219,igrim,63.1906,64.4162,17.2,81,0,3.57,RU,1691444852
220,olonkinbyen,70.9221,-8.7187,4.26,79,3,2.15,SJ,1691444852
221,livingston,55.9029,-3.5226,12.16,82,0,4.12,GB,1691444852
222,timbuktu,16.7735,-3.0074,34.96,33,12,4.43,ML,1691444853
223,labrador city,52.9463,-66.9114,18.95,55,75,1.54,CA,1691444713
224,jishu,44.3167,126.8,17.73,91,99,1.7,CN,1691444853
225,daru,-9.0763,143.2092,24.21,81,83,5.69,PG,1691444853
226,estanzuela,15.0,-89.5667,34.13,52,100,5.14,GT,1691444853
227,fort st. john,56.2499,-120.8529,25.94,47,40,4.12,CA,1691444854
228,palmer,42.1584,-72.3287,22.18,83,100,3.09,US,1691444598
229,satka,55.0425,59.04,15.78,98,33,1.46,RU,1691444854
230,ugoofaaru,5.6667,73.0,27.62,79,100,5.4,MV,1691444854
231,benjamin constant,-4.3831,-70.0311,26.07,83,40,1.54,BR,1691444854
232,cruz del eje,-30.7264,-64.8039,15.06,18,65,4.81,AR,1691444854
233,st. john's,47.5649,-52.7093,17.1,93,100,8.75,CA,1691444807
234,atafu village,-8.5421,-172.5159,28.12,70,10,6.09,TK,1691444854
235,hilo,19.7297,-155.09,28.86,74,20,5.14,US,1691444855
236,kayangel,8.0823,134.7173,27.66,76,100,8.38,PW,1691444855
237,khandyga,62.6667,135.6,15.75,40,9,3.5,RU,1691444855
238,lisala,2.15,21.5167,20.96,96,99,0.68,CD,1691444855
239,rodino,52.5,80.25,15.93,50,0,0.12,RU,1691444855
240,toliara,-23.35,43.6667,19.59,84,6,0.23,MG,1691444855
241,la'ie,21.6477,-157.9253,30.98,72,31,5.81,US,1691444856
242,ushuaia,-54.8,-68.3,1.81,75,0,1.54,AR,1691444856
243,anadyr,64.75,177.4833,11.28,93,75,6.71,RU,1691444856
244,gazojak,41.1875,61.4036,29.55,32,76,4.13,TM,1691444856
245,saldanha,-33.0117,17.9442,13.03,92,0,3.15,ZA,1691444856
246,saudarkrokur,65.7461,-19.6394,10.85,74,84,2.02,IS,1691444856
247,okha,53.5739,142.9478,18.79,66,7,3.57,RU,1691444856
248,tostado,-29.232,-61.7692,17.77,34,0,5.13,AR,1691444857
249,meadow lakes,61.6247,-149.6011,21.69,52,0,0.0,US,1691444857
250,kununurra,-15.7667,128.7333,20.99,32,10,4.63,AU,1691444857
251,cromwell,41.5951,-72.6454,24.67,95,100,4.63,US,1691444857
252,alice springs,-23.7,133.8833,3.75,87,3,0.0,AU,1691444857
253,mugia,43.1041,-9.2179,22.17,78,0,9.8,ES,1691444857
254,tubarjal,30.4999,38.216,28.89,31,0,6.69,SA,1691444857
255,cadale,2.7603,46.3222,24.4,84,92,8.46,SO,1691444858
256,touros,-5.1989,-35.4608,25.04,79,9,6.62,BR,1691444858
257,oriximina,-1.7656,-55.8661,31.27,45,99,0.94,BR,1691444858
258,baruun-urt,46.6806,113.2792,12.66,95,60,2.89,MN,1691444858
259,bejaia,36.7559,5.0843,24.6,69,40,4.12,DZ,1691444858
260,kavieng,-2.5744,150.7967,27.45,74,88,4.35,PG,1691444858
261,mutum,-19.8,-41.4383,21.92,51,0,0.68,BR,1691444858
262,inirida,3.8653,-67.9239,28.03,85,50,1.12,CO,1691444859
263,piton saint-leu,-21.2196,55.3151,20.06,68,75,10.8,RE,1691444859
264,sisimiut,66.9395,-53.6735,8.01,67,20,1.25,GL,1691444859
265,buseresere,-3.0236,31.8747,21.04,48,66,0.72,TZ,1691444859
266,taltal,-25.4,-70.4833,17.38,74,74,2.2,CL,1691444421
267,inari,68.906,27.0288,15.11,92,100,2.25,FI,1691444859
268,rockport,28.0206,-97.0544,34.49,72,0,6.69,US,1691444859
269,keflavik,64.0049,-22.5624,12.95,93,75,1.54,IS,1691444859
270,teluknaga,-6.0989,106.6381,26.67,97,20,1.03,ID,1691444860
271,tolanaro,-25.0319,46.9987,18.04,100,75,5.14,MG,1691444860
272,wailua homesteads,22.0669,-159.378,28.24,89,75,7.72,US,1691444860
273,papao,-17.75,-149.55,28.82,75,87,4.89,PF,1691444860
274,port blair,11.6667,92.75,28.02,83,75,5.14,IN,1691444860
